Unnamed: 0,date,precipitation,rmax,rmin,relative_humidity,solar_radiation,tmin,tmax,air_temp,gdd,cgdd,plant,year,location,Env_Abbr
0,2022-01-01,0.0,100.0,64.0,82.0,49.3,-20.150000000000000,-8.149999999999980,-14.150000000000000,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
1,2022-01-02,0.0,100.0,68.8,84.4,57.8,-8.949999999999990,-2.349999999999970,-5.649999999999980,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
2,2022-01-03,3.2,100.0,76.4,88.2,41.400000000000000,-4.149999999999980,1.650000000000030,-1.2499999999999700,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
3,2022-01-04,5.7,100.0,85.0,92.5,42.1,-7.25,-1.0499999999999500,-4.149999999999980,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
4,2022-01-05,15.5,100.0,87.10000000000000,93.55,54.5,-5.25,-1.4499999999999900,-3.3499999999999900,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
5,2022-01-06,20.3,100.0,70.3,85.2,33.0,-3.75,2.3500000000000200,-0.6999999999999890,0.0,0.0,Winter wheat,2022,Pullman(SAT),22PULSATW
6,2022-01-07,4.1000000000000000,100.0,76.3,88.2,43.3,-2.0499999999999500,3.850000000000020,0.9000000000000340,0.9000000000000340,0.9000000000000340,Winter wheat,2022,Pullman(SAT),22PULSATW
7,2022-01-08,0.0,100.0,66.8,83.4,40.2,-5.949999999999990,1.25,-2.3499999999999900,0.0,0.9000000000000340,Winter wheat,2022,Pullman(SAT),22PULSATW
8,2022-01-09,0.0,94.4,54.900000000000000,74.65,68.9,-7.0499999999999500,1.25,-2.8999999999999800,0.0,0.9000000000000340,Winter wheat,2022,Pullman(SAT),22PULSATW
9,2022-01-10,0.0,79.60000000000000,53.2,66.4,67.7,-5.25,1.150000000000030,-2.049999999999980,0.0,0.9000000000000340,Winter wheat,2022,Pullman(SAT),22PULSATW
10,2022-01-11,1.4,89.0,66.3,77.7,28.5,-1.25,3.9500000000000500,1.3500000000000200,1.3500000000000200,2.250000000000060,Winter wheat,2022,Pullman(SAT),22PULSATW
11,2022-01-12,0.6000000000000000,85.0,68.7,76.9,37.6,0.9500000000000460,5.050000000000010,3.0000000000000300,3.0000000000000300,5.250000000000090,Winter wheat,2022,Pullman(SAT),22PULSATW
12,2022-01-13,0.0,80.30000000000000,57.3,68.8,40.1,-0.6499999999999770,5.050000000000010,2.200000000000020,2.200000000000020,7.450000000000100,Winter wheat,2022,Pullman(SAT),22PULSATW
13,2022-01-14,0.0,80.9,57.8,69.4,64.2,-0.5499999999999550,5.150000000000030,2.30000000000004,2.30000000000004,9.750000000000140,Winter wheat,2022,Pullman(SAT),22PULSATW
14,2022-01-15,0.0,79.10000000000000,58.8,68.95,56.0,-1.5499999999999500,3.550000000000010,1.0000000000000300,1.0000000000000300,10.75000000000020,Winter wheat,2022,Pullman(SAT),22PULSATW
15,2022-01-16,0.0,78.60000000000000,59.3,68.95,60.7,-1.5499999999999500,3.3500000000000200,0.9000000000000340,0.9000000000000340,11.650000000000200,Winter wheat,2022,Pullman(SAT),22PULSATW
16,2022-01-17,0.0,82.2,58.2,70.2,59.6,-1.349999999999970,4.4500000000000500,1.5500000000000400,1.5500000000000400,13.200000000000200,Winter wheat,2022,Pullman(SAT),22PULSATW
17,2022-01-18,0.5,82.80000000000000,71.8,77.3,28.5,0.3500000000000230,3.450000000000050,1.900000000000030,1.900000000000030,15.10000000000030,Winter wheat,2022,Pullman(SAT),22PULSATW
18,2022-01-19,10.5,85.0,65.7,75.4,35.5,0.75,5.4500000000000500,3.1000000000000200,3.1000000000000200,18.2000000000003,Winter wheat,2022,Pullman(SAT),22PULSATW
19,2022-01-20,7.1000000000000000,98.3,61.5,79.9,37.1,-0.5499999999999550,7.150000000000030,3.30000000000004,3.30000000000004,21.50000000000030,Winter wheat,2022,Pullman(SAT),22PULSATW
20,2022-01-21,0.0,90.4,60.7,75.6,64.2,-1.75,4.850000000000020,1.5500000000000100,1.5500000000000100,23.050000000000400,Winter wheat,2022,Pullman(SAT),22PULSATW
21,2022-01-22,0.0,88.60000000000000,52.900000000000000,70.75,75.7,-3.0499999999999500,5.050000000000010,1.0000000000000300,1.0000000000000300,24.05000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
22,2022-01-23,0.0,73.60000000000000,49.6,61.6,80.80000000000000,-2.349999999999970,3.9500000000000500,0.8000000000000400,0.8000000000000400,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
23,2022-01-24,0.0,89.5,74.3,81.9,46.8,-4.649999999999980,-0.9499999999999890,-2.799999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
24,2022-01-25,0.0,80.5,57.900000000000000,69.2,81.2,-3.849999999999970,1.650000000000030,-1.099999999999970,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
25,2022-01-26,0.0,87.9,74.60000000000000,81.25,83.60000000000000,-4.849999999999970,-1.4499999999999900,-3.1499999999999800,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
26,2022-01-27,0.0,87.10000000000000,59.900000000000000,73.5,85.60000000000000,-5.75,0.3500000000000230,-2.6999999999999900,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
27,2022-01-28,0.0,90.9,47.3,69.1,87.0,-7.149999999999980,2.550000000000010,-2.299999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
28,2022-01-29,0.0,90.7,48.7,69.7,87.80000000000000,-6.949999999999990,2.3500000000000200,-2.299999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
29,2022-01-30,3.3000000000000000,91.7,51.400000000000000,71.55,55.0,-4.75,4.150000000000030,-0.2999999999999830,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
30,2022-01-31,0.5,100.0,66.8,83.4,43.400000000000000,-5.75,2.650000000000030,-1.549999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
31,2022-02-01,0.6000000000000000,100.0,70.5,85.3,72.5,-12.850000000000000,0.25,-6.299999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
32,2022-02-02,1.4,100.0,75.2,87.6,91.8,-12.75,-3.849999999999970,-8.299999999999980,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
33,2022-02-03,0.0,96.3,68.2,82.3,68.2,-4.649999999999980,0.9500000000000460,-1.849999999999970,0.0,24.85000000000040,Winter wheat,2022,Pullman(SAT),22PULSATW
34,2022-02-04,0.0,79.2,60.0,69.6,74.3,-1.1499999999999800,3.450000000000050,1.150000000000030,1.150000000000030,26.00000000000050,Winter wheat,2022,Pullman(SAT),22PULSATW
35,2022-02-05,0.0,90.8,53.3,72.1,98.9,-1.6499999999999800,6.4500000000000500,2.400000000000030,2.400000000000030,28.40000000000050,Winter wheat,2022,Pullman(SAT),22PULSATW
36,2022-02-06,0.0,76.5,43.8,60.2,95.7,-0.75,7.450000000000050,3.3500000000000200,3.3500000000000200,31.75000000000050,Winter wheat,2022,Pullman(SAT),22PULSATW
37,2022-02-07,0.0,72.7,31.200000000000000,51.95,105.5,-1.349999999999970,10.450000000000000,4.55000000000004,4.55000000000004,36.30000000000060,Winter wheat,2022,Pullman(SAT),22PULSATW
38,2022-02-08,0.0,76.10000000000000,43.2,59.65,95.1,-0.8499999999999660,7.450000000000050,3.30000000000004,3.30000000000004,39.60000000000060,Winter wheat,2022,Pullman(SAT),22PULSATW
39,2022-02-09,0.0,69.0,34.300000000000000,51.65,92.8,1.5500000000000100,11.550000000000000,6.550000000000010,6.550000000000010,46.1500000000006,Winter wheat,2022,Pullman(SAT),22PULSATW
40,2022-02-10,0.0,98.4,32.4,65.4,112.4,-2.1499999999999800,13.650000000000000,5.750000000000030,5.750000000000030,51.90000000000060,Winter wheat,2022,Pullman(SAT),22PULSATW
41,2022-02-11,0.0,85.4,33.300000000000000,59.35,117.3,-3.1499999999999800,10.050000000000000,3.450000000000020,3.450000000000020,55.35000000000070,Winter wheat,2022,Pullman(SAT),22PULSATW
42,2022-02-12,0.0,72.5,31.4,52.0,118.7,-2.25,9.350000000000030,3.550000000000010,3.550000000000010,58.90000000000070,Winter wheat,2022,Pullman(SAT),22PULSATW
