date,timepoint,wheat,sensor,variety,rep_var,rep_pic,vi,max,mean,median,std,p95,p90,p85,min_air_temp,air_temp,max_air_temp,dewpoint,rel_humidity,soil_temp_2_in,min_soil_temp_8_in,avg_soil_temp_8_in,soil_wp_8_in,precip,solar_rad,et_grass,et_alfalfa
2022-05-12,13,winter,AG11,5,3,2,cigreen0,2.76621,2.13494,2.12802,0.12949,2.36376,2.30369,2.26569,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,3,3,2,cigreen0,2.76621,2.08898,2.08532,0.14124,2.32908,2.26569,2.22921,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,7,3,2,cigreen0,3.718,2.14114,2.13273,0.16216,2.41181,2.34826,2.30369,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,1,3,2,cigreen0,3.718,2.18933,2.18296,0.17877,2.48254,2.41599,2.37398,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,5,3,2,cigreen,9.76521,7.96083,7.94104,0.37014,8.61486,8.44317,8.33455,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,3,3,2,cigreen,9.76521,7.82945,7.81897,0.40372,8.51574,8.33455,8.23027,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,7,3,2,cigreen,12.48578,7.97854,7.9545,0.46352,8.75222,8.57055,8.44317,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,1,3,2,cigreen,12.48578,8.11627,8.09808,0.511,8.95439,8.76416,8.64409,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,5,3,2,evi2,0.67424,0.54626,0.54799,0.03519,0.60173,0.59016,0.58191,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,3,3,2,evi2,0.75328,0.54729,0.54932,0.03621,0.60485,0.5923,0.58382,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,7,3,2,evi2,0.75328,0.51663,0.52911,0.05938,0.59859,0.58505,0.57558,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,1,3,2,evi2,0.75328,0.48356,0.49073,0.07836,0.5933,0.5783,0.56751,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,5,3,2,gndvi0,0.58038,0.51585,0.51551,0.01504,0.54168,0.53528,0.53114,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,3,3,2,gndvi0,0.58038,0.5103,0.51044,0.01684,0.53801,0.53114,0.5271,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,7,3,2,gndvi0,0.65023,0.51631,0.51606,0.01872,0.54667,0.54005,0.53528,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,1,3,2,gndvi0,0.65023,0.52174,0.52187,0.02017,0.55382,0.5471,0.54275,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,5,3,2,gndvi,4.39,3.67069,3.67366,0.16323,3.94238,3.87556,3.83327,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,3,3,2,gndvi,4.39,3.60347,3.6009,0.1721,3.89621,3.82019,3.77706,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,7,3,2,gndvi,4.96852,3.62176,3.61907,0.16545,3.89621,3.82748,3.79111,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
2022-05-12,13,winter,AG11,1,3,2,gndvi,4.96852,3.62676,3.6271,0.16155,3.88457,3.82203,3.79111,35.5,7.444444444444445,59.5,33.3,65.6,10.055555555555555,48.2,10.055555555555555,-18.7,0.25,21.69,0.15,0.2
