Plot,ENTRY,BLOC,Name1,Heading Date,Plant height inch,Test Wt lb/bu,Plot Area,Experiment Name,Year,Locn,Yield bu/a
4101,12,1,Jedd,176,29,62.7,360,2022 Satellite 10x40,2022,PUL,68.6
4102,3,1,Alum,180,36,58.3,360,2022 Satellite 10x40,2022,PUL,63.4
4103,10,1,Tekoa,182,33,61.7,355,2022 Satellite 10x40,2022,PUL,60.4
4104,1,1,Glee,176,33,61.5,355,2022 Satellite 10x40,2022,PUL,71.1
4105,6,1,Ryan,176,32,62.1,360,2022 Satellite 10x40,2022,PUL,85.7
4106,4,1,Chet,178,45,63.5,360,2022 Satellite 10x40,2022,PUL,62.3
4107,11,1,Net CL+,180,34,62.5,360,2022 Satellite 10x40,2022,PUL,63.6
4108,8,1,Whit,177,33,60.4,360,2022 Satellite 10x40,2022,PUL,73.6
4109,7,1,Seahawk,182,34,61.0,355,2022 Satellite 10x40,2022,PUL,72.1
4110,2,1,Kelse,180,35,61.1,360,2022 Satellite 10x40,2022,PUL,67.5
4111,5,1,Louise,182,35,57.3,355,2022 Satellite 10x40,2022,PUL,50.9
4112,9,1,Dayn,175,32,60.0,360,2022 Satellite 10x40,2022,PUL,67.8
4113,3,2,Alum,179,34,59.7,360,2022 Satellite 10x40,2022,PUL,60.8
4114,5,2,Louise,183,35,60.4,360,2022 Satellite 10x40,2022,PUL,54.1
4115,12,2,Jedd,176,29,63.8,360,2022 Satellite 10x40,2022,PUL,72.1
4116,10,2,Tekoa,182,36,60.4,360,2022 Satellite 10x40,2022,PUL,65.0
4117,11,2,Net CL+,180,34,62.6,360,2022 Satellite 10x40,2022,PUL,68.3
4118,2,2,Kelse,178,35,62.6,360,2022 Satellite 10x40,2022,PUL,72.1
4119,1,2,Glee,176,32,63.7,355,2022 Satellite 10x40,2022,PUL,71.1
4120,9,2,Dayn,175,31,62.5,360,2022 Satellite 10x40,2022,PUL,76.9
4121,4,2,Chet,179,44,62.9,360,2022 Satellite 10x40,2022,PUL,62.1
4122,8,2,Whit,178,35,61.0,360,2022 Satellite 10x40,2022,PUL,71.8
4123,7,2,Seahawk,181,31,61.8,360,2022 Satellite 10x40,2022,PUL,82.7
4124,6,2,Ryan,175,31,62.9,360,2022 Satellite 10x40,2022,PUL,81.0
4125,3,3,Alum,178,35,61.7,360,2022 Satellite 10x40,2022,PUL,64.7
4126,8,3,Whit,176,34,60.8,360,2022 Satellite 10x40,2022,PUL,75.0
4127,6,3,Ryan,175,32,61.2,360,2022 Satellite 10x40,2022,PUL,82.6
4128,1,3,Glee,175,34,63.8,360,2022 Satellite 10x40,2022,PUL,77.3
4129,4,3,Chet,177,43,62.7,360,2022 Satellite 10x40,2022,PUL,66.1
4130,7,3,Seahawk,180,32,62.8,360,2022 Satellite 10x40,2022,PUL,71.0
4131,12,3,Jedd,176,29,62.8,360,2022 Satellite 10x40,2022,PUL,63.7
