Plot,ENTRY,BLOC,Name1,Heading Date,Plant height inch,Test Wt lb/bu,Plot Area,Experiment Name,Year,Locn,Yield bu/a
1,1,1,Rosalyn,170,35,60.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,94
2,2,1,Otto,174,43,60.4,50,2022 SAT EXP 6rep 5ft,2022,PUL,99
3,3,1,Puma,171,44,61.2,50,2022 SAT EXP 6rep 5ft,2022,PUL,115
4,4,1,Purl,171,41,62.2,50,2022 SAT EXP 6rep 5ft,2022,PUL,139
5,5,1,Jasper,172,42,59.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,129
6,6,1,Inspire,173,42,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,127
7,7,1,Piranha CL+,169,43,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,137
8,8,1,Jameson,172,43,63.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,114
9,4,2,Purl,171,41,64.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,132
10,5,2,Jasper,173,41,62.2,50,2022 SAT EXP 6rep 5ft,2022,PUL,132
11,8,2,Jameson,173,45,63.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,124
12,7,2,Piranha CL+,170,44,62.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,149
13,2,2,Otto,175,43,61.2,50,2022 SAT EXP 6rep 5ft,2022,PUL,109
14,3,2,Puma,169,45,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,119
15,1,2,Rosalyn,173,42,61.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,145
16,6,2,Inspire,173,42,63.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,134
17,5,3,Jasper,172,41,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,155
18,3,3,Puma,171,45,62.6,50,2022 SAT EXP 6rep 5ft,2022,PUL,121
19,7,3,Piranha CL+,171,42,63.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,151
20,1,3,Rosalyn,173,39,62.2,50,2022 SAT EXP 6rep 5ft,2022,PUL,139
21,2,3,Otto,175,45,61.6,50,2022 SAT EXP 6rep 5ft,2022,PUL,105
22,4,3,Purl,169,42,63.6,50,2022 SAT EXP 6rep 5ft,2022,PUL,130
23,8,3,Jameson,172,45,63.6,50,2022 SAT EXP 6rep 5ft,2022,PUL,132
24,6,3,Inspire,173,44,62.9,50,2022 SAT EXP 6rep 5ft,2022,PUL,135
25,8,4,Jameson,173,44,64.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,149
26,5,4,Jasper,172,41,63.0,50,2022 SAT EXP 6rep 5ft,2022,PUL,151
27,6,4,Inspire,173,41,62.4,50,2022 SAT EXP 6rep 5ft,2022,PUL,130
28,3,4,Puma,171,45,63.0,50,2022 SAT EXP 6rep 5ft,2022,PUL,128
29,7,4,Piranha CL+,171,44,63.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,143
30,2,4,Otto,175,45,62.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,99
31,1,4,Rosalyn,170,41,61.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,137
32,4,4,Purl,170,41,64.1,50,2022 SAT EXP 6rep 5ft,2022,PUL,146
33,2,5,Otto,175,42,62.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,110
34,6,5,Inspire,173,41,62.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,130
35,1,5,Rosalyn,171,40,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,143
36,4,5,Purl,169,41,63.4,50,2022 SAT EXP 6rep 5ft,2022,PUL,142
37,3,5,Puma,170,47,63.0,50,2022 SAT EXP 6rep 5ft,2022,PUL,131
38,7,5,Piranha CL+,171,45,62.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,150
39,8,5,Jameson,173,45,63.3,50,2022 SAT EXP 6rep 5ft,2022,PUL,137
40,5,5,Jasper,173,42,62.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,155
41,5,6,Jasper,173,40,62.7,50,2022 SAT EXP 6rep 5ft,2022,PUL,148
42,4,6,Purl,169,41,63.9,50,2022 SAT EXP 6rep 5ft,2022,PUL,139
43,3,6,Puma,171,44,63.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,125
44,6,6,Inspire,173,42,62.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,139
45,8,6,Jameson,173,45,63.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,138
46,7,6,Piranha CL+,172,45,62.9,50,2022 SAT EXP 6rep 5ft,2022,PUL,146
47,2,6,Otto,176,44,62.8,50,2022 SAT EXP 6rep 5ft,2022,PUL,110
48,1,6,Rosalyn,172,40,62.5,50,2022 SAT EXP 6rep 5ft,2022,PUL,150
